parameter,value,units,category,impact,source
"""chapters"": 6",6,,requirement,linear,docs/normalized_economy.json:L105
"""level"": 2,",2,,progression,linear,docs/normalized_economy.json:L109
"""income_min"": 20,",20,,income,linear,docs/normalized_economy.json:L110
"""income_max"": 30,",30,,limit,cap,docs/normalized_economy.json:L111
"""chapters"": 12,",12,,requirement,linear,docs/normalized_economy.json:L113
"""cover"": 1",1,,other,linear,docs/normalized_economy.json:L114
"""level"": 3,",3,,progression,linear,docs/normalized_economy.json:L118
"""income_min"": 30,",30,,income,linear,docs/normalized_economy.json:L119
"""income_max"": 42,",42,,limit,cap,docs/normalized_economy.json:L120
"""chapters"": 18,",18,,requirement,linear,docs/normalized_economy.json:L122
"""cover"": 2,",2,,other,linear,docs/normalized_economy.json:L123
"""reviews"": 6",6,,requirement,linear,docs/normalized_economy.json:L124
"""level"": 4,",4,,progression,linear,docs/normalized_economy.json:L128
"""income_min"": 44,",44,,income,linear,docs/normalized_economy.json:L129
"""income_max"": 58,",58,,limit,cap,docs/normalized_economy.json:L130
"""chapters"": 24,",24,,requirement,linear,docs/normalized_economy.json:L132
"""cover"": 3,",3,,other,linear,docs/normalized_economy.json:L133
"""reviews"": 10",10,,requirement,linear,docs/normalized_economy.json:L134
"""level"": 5,",5,,progression,linear,docs/normalized_economy.json:L138
"""income_min"": 60,",60,,income,linear,docs/normalized_economy.json:L139
"""income_max"": 78,",78,,limit,cap,docs/normalized_economy.json:L140
"""chapters"": 32,",32,,requirement,linear,docs/normalized_economy.json:L142
"""cover"": 4,",4,,other,linear,docs/normalized_economy.json:L143
"""reviews"": 16",16,,requirement,linear,docs/normalized_economy.json:L144
"""setup_days"": 4,",4,,time,linear,docs/normalized_economy.json:L159
"""setup_minutes_per_day"": 180",180,,time,linear,docs/normalized_economy.json:L160
"""base_income"": 34,",34,,income,linear,docs/normalized_economy.json:L165
"""variance"": 0.2,",0.2,,income,linear,docs/normalized_economy.json:L166
"""setup_time"": 960,",960,,time,linear,docs/normalized_economy.json:L167
"""setup_cost"": 420,",420,,cost,linear,docs/normalized_economy.json:L168
"""maintenance_time"": 60,",60,,time,linear,docs/normalized_economy.json:L169
"""maintenance_cost"": 9,",9,,cost,linear,docs/normalized_economy.json:L170
"""level"": 0,",0,,progression,linear,docs/normalized_economy.json:L173
"""income_min"": 2,",2,,income,linear,docs/normalized_economy.json:L174
"""income_max"": 5,",5,,limit,cap,docs/normalized_economy.json:L175
"""level"": 1,",1,,progression,linear,docs/normalized_economy.json:L179
"""income_min"": 12,",12,,income,linear,docs/normalized_economy.json:L180
"""income_max"": 20,",20,,limit,cap,docs/normalized_economy.json:L181
"""videos"": 4",4,,requirement,linear,docs/normalized_economy.json:L183
"""level"": 2,",2,,progression,linear,docs/normalized_economy.json:L187
"""income_min"": 20,",20,,income,linear,docs/normalized_economy.json:L188
"""income_max"": 30,",30,,limit,cap,docs/normalized_economy.json:L189
"""videos"": 10,",10,,requirement,linear,docs/normalized_economy.json:L191
"""edits"": 4",4,,other,linear,docs/normalized_economy.json:L192
"""level"": 3,",3,,progression,linear,docs/normalized_economy.json:L196
"""income_min"": 32,",32,,income,linear,docs/normalized_economy.json:L197
"""income_max"": 40,",40,,limit,cap,docs/normalized_economy.json:L198
"""videos"": 18,",18,,requirement,linear,docs/normalized_economy.json:L200
"""edits"": 7,",7,,other,linear,docs/normalized_economy.json:L201
"""promotion"": 5",5,,other,linear,docs/normalized_economy.json:L202
"""level"": 4,",4,,progression,linear,docs/normalized_economy.json:L206
"""income_min"": 45,",45,,income,linear,docs/normalized_economy.json:L207
"""income_max"": 58,",58,,limit,cap,docs/normalized_economy.json:L208
"""videos"": 26,",26,,requirement,linear,docs/normalized_economy.json:L210
"""edits"": 11,",11,,other,linear,docs/normalized_economy.json:L211
"""promotion"": 9",9,,other,linear,docs/normalized_economy.json:L212
"""level"": 5,",5,,progression,linear,docs/normalized_economy.json:L216
"""income_min"": 62,",62,,income,linear,docs/normalized_economy.json:L217
"""income_max"": 82,",82,,limit,cap,docs/normalized_economy.json:L218
"""videos"": 38,",38,,requirement,linear,docs/normalized_economy.json:L220
"""edits"": 16,",16,,other,linear,docs/normalized_economy.json:L221
"""promotion"": 14",14,,other,linear,docs/normalized_economy.json:L222
"""setup_days"": 4,",4,,time,linear,docs/normalized_economy.json:L238
"""setup_minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L239
"""base_income"": 58,",58,,income,linear,docs/normalized_economy.json:L244
"""variance"": 0.35,",0.35,,income,linear,docs/normalized_economy.json:L245
"""setup_time"": 1200,",1200,,time,linear,docs/normalized_economy.json:L246
"""setup_cost"": 560,",560,,cost,linear,docs/normalized_economy.json:L247
"""maintenance_time"": 48,",48,,time,linear,docs/normalized_economy.json:L248
"""maintenance_cost"": 10,",10,,cost,linear,docs/normalized_economy.json:L249
"""level"": 0,",0,,progression,linear,docs/normalized_economy.json:L252
"""income_min"": 8,",8,,income,linear,docs/normalized_economy.json:L253
"""income_max"": 14,",14,,limit,cap,docs/normalized_economy.json:L254
"""level"": 1,",1,,progression,linear,docs/normalized_economy.json:L258
"""income_min"": 18,",18,,income,linear,docs/normalized_economy.json:L259
"""income_max"": 30,",30,,limit,cap,docs/normalized_economy.json:L260
"""shoots"": 4",4,,requirement,linear,docs/normalized_economy.json:L262
"""level"": 2,",2,,progression,linear,docs/normalized_economy.json:L266
"""income_min"": 34,",34,,income,linear,docs/normalized_economy.json:L267
"""income_max"": 52,",52,,limit,cap,docs/normalized_economy.json:L268
"""shoots"": 10,",10,,requirement,linear,docs/normalized_economy.json:L270
"""editing"": 4",4,,other,linear,docs/normalized_economy.json:L271
"""level"": 3,",3,,progression,linear,docs/normalized_economy.json:L275
"""income_min"": 54,",54,,income,linear,docs/normalized_economy.json:L276
"""income_max"": 78,",78,,limit,cap,docs/normalized_economy.json:L277
"""shoots"": 16,",16,,requirement,linear,docs/normalized_economy.json:L279
"""editing"": 7,",7,,other,linear,docs/normalized_economy.json:L280
"""marketing"": 5",5,,requirement,linear,docs/normalized_economy.json:L281
"""level"": 4,",4,,progression,linear,docs/normalized_economy.json:L285
"""income_min"": 80,",80,,income,linear,docs/normalized_economy.json:L286
"""income_max"": 108,",108,,limit,cap,docs/normalized_economy.json:L287
"""shoots"": 24,",24,,requirement,linear,docs/normalized_economy.json:L289
"""editing"": 11,",11,,other,linear,docs/normalized_economy.json:L290
"""marketing"": 9",9,,requirement,linear,docs/normalized_economy.json:L291
"""level"": 5,",5,,progression,linear,docs/normalized_economy.json:L295
"""income_min"": 112,",112,,income,linear,docs/normalized_economy.json:L296
"""income_max"": 150,",150,,limit,cap,docs/normalized_economy.json:L297
"""shoots"": 36,",36,,requirement,linear,docs/normalized_economy.json:L299
"""editing"": 16,",16,,other,linear,docs/normalized_economy.json:L300
"""marketing"": 14",14,,requirement,linear,docs/normalized_economy.json:L301
"""setup_days"": 5,",5,,time,linear,docs/normalized_economy.json:L320
"""setup_minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L321
"""base_income"": 84,",84,,income,linear,docs/normalized_economy.json:L326
"""variance"": 0.35,",0.35,,income,linear,docs/normalized_economy.json:L327
"""setup_time"": 1440,",1440,,time,linear,docs/normalized_economy.json:L328
"""setup_cost"": 720,",720,,cost,linear,docs/normalized_economy.json:L329
"""maintenance_time"": 66,",66,,time,linear,docs/normalized_economy.json:L330
"""maintenance_cost"": 12,",12,,cost,linear,docs/normalized_economy.json:L331
"""level"": 0,",0,,progression,linear,docs/normalized_economy.json:L334
"""income_min"": 12,",12,,income,linear,docs/normalized_economy.json:L335
"""income_max"": 20,",20,,limit,cap,docs/normalized_economy.json:L336
"""level"": 1,",1,,progression,linear,docs/normalized_economy.json:L340
"""income_min"": 24,",24,,income,linear,docs/normalized_economy.json:L341
"""income_max"": 38,",38,,limit,cap,docs/normalized_economy.json:L342
"""research"": 4",4,,other,linear,docs/normalized_economy.json:L344
"""level"": 2,",2,,progression,linear,docs/normalized_economy.json:L348
"""income_min"": 44,",44,,income,linear,docs/normalized_economy.json:L349
"""income_max"": 62,",62,,limit,cap,docs/normalized_economy.json:L350
"""research"": 11,",11,,other,linear,docs/normalized_economy.json:L352
"""listing"": 5",5,,requirement,linear,docs/normalized_economy.json:L353
"""level"": 3,",3,,progression,linear,docs/normalized_economy.json:L357
"""income_min"": 68,",68,,income,linear,docs/normalized_economy.json:L358
"""income_max"": 92,",92,,limit,cap,docs/normalized_economy.json:L359
"""research"": 18,",18,,other,linear,docs/normalized_economy.json:L361
"""listing"": 8,",8,,requirement,linear,docs/normalized_economy.json:L362
"""ads"": 7",7,,requirement,linear,docs/normalized_economy.json:L363
"""level"": 4,",4,,progression,linear,docs/normalized_economy.json:L367
"""income_min"": 95,",95,,income,linear,docs/normalized_economy.json:L368
"""income_max"": 128,",128,,limit,cap,docs/normalized_economy.json:L369
"""research"": 26,",26,,other,linear,docs/normalized_economy.json:L371
"""listing"": 12,",12,,requirement,linear,docs/normalized_economy.json:L372
"""ads"": 10",10,,requirement,linear,docs/normalized_economy.json:L373
"""level"": 5,",5,,progression,linear,docs/normalized_economy.json:L377
"""income_min"": 130,",130,,income,linear,docs/normalized_economy.json:L378
"""income_max"": 176,",176,,limit,cap,docs/normalized_economy.json:L379
"""research"": 38,",38,,other,linear,docs/normalized_economy.json:L381
"""listing"": 18,",18,,requirement,linear,docs/normalized_economy.json:L382
"""ads"": 16",16,,requirement,linear,docs/normalized_economy.json:L383
"""count"": 2",2,,requirement,linear,docs/normalized_economy.json:L394
"""setup_days"": 6,",6,,time,linear,docs/normalized_economy.json:L404
"""setup_minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L405
"""base_income"": 108,",108,,income,linear,docs/normalized_economy.json:L410
"""variance"": 0.4,",0.4,,income,linear,docs/normalized_economy.json:L411
"""setup_time"": 1920,",1920,,time,linear,docs/normalized_economy.json:L412
"""setup_cost"": 960,",960,,cost,linear,docs/normalized_economy.json:L413
"""maintenance_time"": 132,",132,,time,linear,docs/normalized_economy.json:L414
"""maintenance_cost"": 24,",24,,cost,linear,docs/normalized_economy.json:L415
"""level"": 0,",0,,progression,linear,docs/normalized_economy.json:L418
"""income_min"": 20,",20,,income,linear,docs/normalized_economy.json:L419
"""income_max"": 32,",32,,limit,cap,docs/normalized_economy.json:L420
"""level"": 1,",1,,progression,linear,docs/normalized_economy.json:L424
"""income_min"": 32,",32,,income,linear,docs/normalized_economy.json:L425
"""income_max"": 48,",48,,limit,cap,docs/normalized_economy.json:L426
"""features"": 4",4,,requirement,linear,docs/normalized_economy.json:L428
"""level"": 2,",2,,progression,linear,docs/normalized_economy.json:L432
"""income_min"": 54,",54,,income,linear,docs/normalized_economy.json:L433
"""income_max"": 74,",74,,limit,cap,docs/normalized_economy.json:L434
"""features"": 12,",12,,requirement,linear,docs/normalized_economy.json:L436
"""stability"": 5",5,,requirement,linear,docs/normalized_economy.json:L437
"""level"": 3,",3,,progression,linear,docs/normalized_economy.json:L441
"""income_min"": 84,",84,,income,linear,docs/normalized_economy.json:L442
"""income_max"": 120,",120,,limit,cap,docs/normalized_economy.json:L443
"""features"": 24,",24,,requirement,linear,docs/normalized_economy.json:L445
"""stability"": 8,",8,,requirement,linear,docs/normalized_economy.json:L446
"""marketing"": 6",6,,requirement,linear,docs/normalized_economy.json:L447
"""level"": 4,",4,,progression,linear,docs/normalized_economy.json:L451
"""income_min"": 120,",120,,income,linear,docs/normalized_economy.json:L452
"""income_max"": 168,",168,,limit,cap,docs/normalized_economy.json:L453
"""features"": 34,",34,,requirement,linear,docs/normalized_economy.json:L455
"""stability"": 12,",12,,requirement,linear,docs/normalized_economy.json:L456
"""marketing"": 10,",10,,requirement,linear,docs/normalized_economy.json:L457
"""edge"": 4",4,,requirement,linear,docs/normalized_economy.json:L458
"""level"": 5,",5,,progression,linear,docs/normalized_economy.json:L462
"""income_min"": 168,",168,,income,linear,docs/normalized_economy.json:L463
"""income_max"": 220,",220,,limit,cap,docs/normalized_economy.json:L464
"""features"": 48,",48,,requirement,linear,docs/normalized_economy.json:L466
"""stability"": 18,",18,,requirement,linear,docs/normalized_economy.json:L467
"""marketing"": 15,",15,,requirement,linear,docs/normalized_economy.json:L468
"""edge"": 8",8,,requirement,linear,docs/normalized_economy.json:L469
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L483
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L487
"""setup_days"": 8,",8,,time,linear,docs/normalized_economy.json:L497
"""setup_minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L498
"""base_income"": 18,",18,,income,linear,docs/normalized_economy.json:L505
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L506
"""setup_time"": 120,",120,,time,linear,docs/normalized_economy.json:L507
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L508
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L509
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L510
"""base_income"": 12,",12,,income,linear,docs/normalized_economy.json:L524
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L525
"""setup_time"": 60,",60,,time,linear,docs/normalized_economy.json:L526
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L527
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L528
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L529
"""daily_limit"": 1,",1,,limit,cap,docs/normalized_economy.json:L531
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L535
"""base_income"": 48,",48,,income,linear,docs/normalized_economy.json:L549
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L550
"""setup_time"": 150,",150,,time,linear,docs/normalized_economy.json:L551
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L552
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L553
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L554
"""count"": 2",2,,requirement,linear,docs/normalized_economy.json:L560
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L564
"""base_income"": 1,",1,,income,linear,docs/normalized_economy.json:L577
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L578
"""setup_time"": 15,",15,,time,linear,docs/normalized_economy.json:L579
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L580
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L581
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L582
"""daily_limit"": 4,",4,,limit,cap,docs/normalized_economy.json:L584
"""base_income"": 72,",72,,income,linear,docs/normalized_economy.json:L596
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L597
"""setup_time"": 210,",210,,time,linear,docs/normalized_economy.json:L598
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L599
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L600
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L601
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L607
"""base_income"": 38,",38,,income,linear,docs/normalized_economy.json:L621
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L622
"""setup_time"": 150,",150,,time,linear,docs/normalized_economy.json:L623
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L624
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L625
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L626
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L632
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L636
"""weight"": 0.5",0.5,,other,linear,docs/normalized_economy.json:L643
"""base_income"": 24,",24,,income,linear,docs/normalized_economy.json:L653
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L654
"""setup_time"": 90,",90,,time,linear,docs/normalized_economy.json:L655
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L656
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L657
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L658
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L664
"""base_income"": 28,",28,,income,linear,docs/normalized_economy.json:L678
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L679
"""setup_time"": 120,",120,,time,linear,docs/normalized_economy.json:L680
"""setup_cost"": 8,",8,,cost,linear,docs/normalized_economy.json:L681
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L682
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L683
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L689
"""base_income"": 30,",30,,income,linear,docs/normalized_economy.json:L702
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L703
"""setup_time"": 60,",60,,time,linear,docs/normalized_economy.json:L704
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L705
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L706
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L707
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L713
"""weight"": 0.5",0.5,,other,linear,docs/normalized_economy.json:L720
"""base_income"": 44,",44,,income,linear,docs/normalized_economy.json:L730
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L731
"""setup_time"": 165,",165,,time,linear,docs/normalized_economy.json:L732
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L733
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L734
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L735
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L741
"""base_income"": 18,",18,,income,linear,docs/normalized_economy.json:L754
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L755
"""setup_time"": 45,",45,,time,linear,docs/normalized_economy.json:L756
"""setup_cost"": 5,",5,,cost,linear,docs/normalized_economy.json:L757
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L758
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L759
"""count"": 2",2,,requirement,linear,docs/normalized_economy.json:L765
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L780
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L781
"""setup_time"": 720,",720,,time,linear,docs/normalized_economy.json:L782
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L783
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L784
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L785
"""days"": 3,",3,,time,linear,docs/normalized_economy.json:L788
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L789
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L792
"""weight"": 1",1,,other,linear,docs/normalized_economy.json:L796
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L803
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L804
"""setup_time"": 720,",720,,time,linear,docs/normalized_economy.json:L805
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L806
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L807
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L808
"""days"": 3,",3,,time,linear,docs/normalized_economy.json:L811
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L812
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L815
"""weight"": 1",1,,other,linear,docs/normalized_economy.json:L819
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L826
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L827
"""setup_time"": 720,",720,,time,linear,docs/normalized_economy.json:L828
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L829
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L830
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L831
"""days"": 3,",3,,time,linear,docs/normalized_economy.json:L834
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L835
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L838
"""weight"": 1",1,,other,linear,docs/normalized_economy.json:L842
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L849
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L850
"""setup_time"": 720,",720,,time,linear,docs/normalized_economy.json:L851
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L852
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L853
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L854
"""days"": 3,",3,,time,linear,docs/normalized_economy.json:L857
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L858
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L861
"""weight"": 1",1,,other,linear,docs/normalized_economy.json:L865
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L872
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L873
"""setup_time"": 720,",720,,time,linear,docs/normalized_economy.json:L874
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L875
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L876
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L877
"""days"": 3,",3,,time,linear,docs/normalized_economy.json:L880
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L881
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L884
"""weight"": 1",1,,other,linear,docs/normalized_economy.json:L888
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L895
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L896
"""setup_time"": 600,",600,,time,linear,docs/normalized_economy.json:L897
"""setup_cost"": 140,",140,,cost,linear,docs/normalized_economy.json:L898
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L899
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L900
"""days"": 5,",5,,time,linear,docs/normalized_economy.json:L903
"""minutes_per_day"": 120",120,,time,linear,docs/normalized_economy.json:L904
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L907
"""weight"": 1",1,,other,linear,docs/normalized_economy.json:L911
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L918
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L919
"""setup_time"": 360.0,",360.0,,time,linear,docs/normalized_economy.json:L920
"""setup_cost"": 95,",95,,cost,linear,docs/normalized_economy.json:L921
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L922
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L923
"""days"": 4,",4,,time,linear,docs/normalized_economy.json:L926
"""minutes_per_day"": 90",90,,time,linear,docs/normalized_economy.json:L927
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L930
"""weight"": 0.5",0.5,,other,linear,docs/normalized_economy.json:L934
"""weight"": 0.5",0.5,,other,linear,docs/normalized_economy.json:L938
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L945
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L946
"""setup_time"": 1620,",1620,,time,linear,docs/normalized_economy.json:L947
"""setup_cost"": 900,",900,,cost,linear,docs/normalized_economy.json:L948
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L949
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L950
"""days"": 9,",9,,time,linear,docs/normalized_economy.json:L953
"""minutes_per_day"": 180",180,,time,linear,docs/normalized_economy.json:L954
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L957
"""weight"": 0.5",0.5,,other,linear,docs/normalized_economy.json:L961
"""weight"": 0.5",0.5,,other,linear,docs/normalized_economy.json:L965
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L972
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L973
"""setup_time"": 5400,",5400,,time,linear,docs/normalized_economy.json:L974
"""setup_cost"": 3000,",3000,,cost,linear,docs/normalized_economy.json:L975
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L976
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L977
"""days"": 15,",15,,time,linear,docs/normalized_economy.json:L980
"""minutes_per_day"": 360",360,,time,linear,docs/normalized_economy.json:L981
"""base_xp"": 120,",120,xp,xp,linear,docs/normalized_economy.json:L984
"""weight"": 0.6",0.6,,other,linear,docs/normalized_economy.json:L988
"""weight"": 0.4",0.4,,other,linear,docs/normalized_economy.json:L992
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L999
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1000
"""setup_time"": 240,",240,,time,linear,docs/normalized_economy.json:L1001
"""setup_cost"": 120,",120,,cost,linear,docs/normalized_economy.json:L1002
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1003
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1004
"""days"": 4,",4,,time,linear,docs/normalized_economy.json:L1007
"""minutes_per_day"": 60",60,,time,linear,docs/normalized_economy.json:L1008
"""base_xp"": 100,",100,xp,xp,linear,docs/normalized_economy.json:L1011
"""weight"": 0.6",0.6,,other,linear,docs/normalized_economy.json:L1015
"""weight"": 0.4",0.4,,other,linear,docs/normalized_economy.json:L1019
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1026
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1027
"""setup_time"": 540.0,",540.0,,time,linear,docs/normalized_economy.json:L1028
"""setup_cost"": 180,",180,,cost,linear,docs/normalized_economy.json:L1029
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1030
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1031
"""days"": 6,",6,,time,linear,docs/normalized_economy.json:L1034
"""minutes_per_day"": 90",90,,time,linear,docs/normalized_economy.json:L1035
"""base_xp"": 110,",110,xp,xp,linear,docs/normalized_economy.json:L1038
"""weight"": 0.6",0.6,,other,linear,docs/normalized_economy.json:L1042
"""weight"": 0.4",0.4,,other,linear,docs/normalized_economy.json:L1046
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1053
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1054
"""setup_time"": 900.0,",900.0,,time,linear,docs/normalized_economy.json:L1055
"""setup_cost"": 280,",280,,cost,linear,docs/normalized_economy.json:L1056
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1057
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1058
"""days"": 6,",6,,time,linear,docs/normalized_economy.json:L1061
"""minutes_per_day"": 150",150,,time,linear,docs/normalized_economy.json:L1062
"""base_xp"": 150,",150,xp,xp,linear,docs/normalized_economy.json:L1065
"""weight"": 0.6",0.6,,other,linear,docs/normalized_economy.json:L1069
"""weight"": 0.4",0.4,,other,linear,docs/normalized_economy.json:L1073
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1080
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1081
"""setup_time"": 2400,",2400,,time,linear,docs/normalized_economy.json:L1082
"""setup_cost"": 900,",900,,cost,linear,docs/normalized_economy.json:L1083
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1084
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1085
